run,apogee_m,impact_x_m,impact_y_m,wind_scale,thrust_scale,dry_mass_scale,aero_scale,sensor_bias_scale,thrust_misalignment_deg,cg_offset_m,impact_valid
2697,584.522,-1367.56,1514.84,1.08727,0.999782,1.0029,1.04056,0.968136,0.134144,-0.00996365,1
2698,3085.36,-6101.86,10687.1,1.24431,1.00319,0.990331,1.01265,0.832968,-0.0674554,0.00362056,1
2699,6600.09,-4297.58,12908,0.954208,1.00557,1.01306,0.986672,0.975669,-0.0844994,0.00108191,1
2700,64868.2,173744,-92844.4,1.41385,1.00807,1.00911,0.955538,0.964598,-0.0126292,-0.0017161,1
2701,10204.1,-11726.3,35345.8,1.01874,0.993061,0.994851,0.969293,1.15172,0.105015,-0.000565036,1
2702,38029.6,140483,-65603.2,0.946778,0.973277,0.994257,1.00875,0.926754,0.0183676,0.00169246,1
2703,976.053,2709.24,-2284.01,1.37613,1.00296,1.01182,0.990531,1.07695,0.0887695,0.00874752,1
2704,325.837,-797.487,844.45,1.143,0.957889,0.985199,0.986032,0.925717,-0.221546,0.0105056,1
2705,283.905,726.351,-691.736,1.02754,0.986334,1.00287,1.05493,0.94025,-0.253994,-0.0107886,1
2706,1506.55,-2947.14,3850.23,1.03871,0.972046,0.97779,1.01451,1.09023,-0.164872,0.00305756,1
2707,2510.99,6766.5,-4193.03,1.37225,1.02265,1.00012,0.960225,0.859344,-0.162892,-0.00185105,1
2708,1126.58,3296.69,-2678.99,1.14263,0.982369,1.00853,1.0325,1.15954,0.0465487,0.0141402,1
2709,741.557,1988.92,-1747.4,1.08324,1.02634,1.02047,1.00715,0.704777,-0.0912585,-0.0114952,1
2710,2777.7,-4513.17,7061.9,0.831958,1.01422,0.99232,1.01899,0.775753,0.169467,-0.00161602,1
2711,6194.15,-8345.3,21154.3,0.853949,1.03207,0.996256,0.98235,0.814647,-0.214711,0.000629799,1
2712,2976.81,-5996.1,10106.1,0.795475,1.01097,1.00295,1.05164,0.902453,-0.0334101,0.00740897,1
2713,306.398,-739.21,779.593,0.721445,1.0235,0.988648,0.968169,0.846918,0.282588,-0.00953146,1
2714,6670.96,-5693.02,16779.7,0.82686,0.985884,1.00535,1.02093,0.797852,0.0109387,-0.0111496,1
2715,102329,98214.2,-45694.3,0.799145,0.975167,0.992708,0.987021,0.846297,0.00218855,0.00331419,1
2716,628.712,-1476.35,1647.22,0.734728,1.02012,1.01261,0.9902,1.27534,-0.0737071,0.0168467,1
2717,666.591,-1554.52,1748.18,0.855985,0.988535,1.00874,1.00689,0.99248,-0.0967047,0.0117588,1
2718,477.967,1265.65,-1164.12,0.853478,0.982246,1.00822,0.966395,1.21983,0.156647,0.0100569,1
2719,3644.94,9505.82,-5379.13,0.843476,0.976074,1.0128,0.920391,1.01248,0.0333627,0.00561678,1
2720,3041.28,11613.2,-6598.81,0.753158,1.01932,1.00121,0.991023,0.93621,0.0398672,0.00608085,1
2721,505.24,-1190.66,1300.92,1.19835,0.998555,0.992986,1.00859,0.609861,0.200443,-0.0078462,1
2722,2140.42,-4492.96,6486.43,0.635168,1.00834,1.0051,1.02176,0.896978,0.267809,-0.00132677,1
2723,2011.3,-3777.89,5278.75,0.926166,0.996159,0.996716,1.08911,1.01054,0.267236,-0.00141233,1
2724,477.933,1257.13,-1154.76,1.10392,0.982631,0.980204,1.01901,1.04574,-0.0916714,-0.018043,1
2725,106512,14349.4,17451.3,1.02754,0.968895,1.00154,1.0296,0.750999,0.00288149,-0.000695754,1
2726,2108.32,7131.65,-4877.76,0.865245,1.00912,1.00524,0.98427,1.56923,0.0936426,0.00375789,1
2727,6670.57,21010.5,-7162.48,0.881296,1.01309,1.00394,1.00772,0.983463,0.233986,0.000514531,1
2728,881.301,-2023.9,2368.69,1.06039,0.990597,1.00182,1.02825,0.844731,-0.0474032,0.0182965,1
2729,2940.96,10775.2,-6407.27,1.06267,1.02982,1.01902,0.975522,0.863218,0.0244479,0.0100719,1
2730,389.542,-928.685,993.76,0.951406,1.00562,0.992416,1.0019,0.911215,0.259352,-0.0079652,1
2731,448.716,-1060.23,1145.75,0.838492,1.01907,1.00583,0.958251,0.671955,0.310826,-0.00575147,1
2732,1335.25,-2771.49,3563,0.873864,1.04442,0.999802,0.97448,0.854635,-0.17111,0.00349063,1
2733,493.12,-1167.52,1272.12,0.76046,0.990344,1.0082,0.987612,0.894511,0.117446,-0.0132897,1
2734,433.112,1130.76,-1048.75,0.813284,0.990869,1.00788,1.0318,1.04871,-0.11006,-0.0161367,1
2735,2843.98,9759.27,-5979.87,0.971467,1.01082,1.00535,0.961625,1.11707,-0.0829865,-0.00309337,1
2736,1817.23,-3193.9,4409.7,0.798368,0.984532,1.01182,1.03688,1.06401,0.0792941,-0.00510477,1
2737,413.757,-989.039,1063.02,0.871141,1.00186,0.992601,1.00158,1.03082,0.140752,-0.0136915,1
2738,3541.46,12534.8,-6397.8,0.927203,1.02839,0.986279,0.984885,0.806096,0.0202944,0.0110796,1
2739,268.317,688.664,-657.754,0.851668,1.00487,1.00393,0.984294,1.38097,-0.197598,-0.0149194,1
2740,107280,32401.4,-11678.1,0.831477,0.967919,1.00075,0.982051,0.913426,-0.00349959,-0.000587653,1
2741,6049.62,20955.6,-8035.74,0.651944,0.972122,1.01475,0.929008,1.0245,-0.0116509,-0.0114469,1
2742,5634.45,15718.8,-5207.55,0.921135,0.989724,1.00627,1.00169,0.630624,0.140029,0.000762603,1
2743,1204.15,3204.37,-2570.68,1.13627,0.984292,1.00718,1.01973,0.736791,-0.0570835,-0.0108608,1
2744,1216.93,-2520.61,3156.18,1.11116,0.997374,1.01138,1.02242,1.04191,0.0353468,-0.0175952,1
2745,1907.23,-3457.76,4787.11,1.46269,0.989796,1.00227,1.00724,1.10078,-0.0510514,0.00764973,1
2746,407.575,1065.33,-991.498,0.879421,0.985128,0.985093,1.00014,1.22873,-0.0877549,-0.0220536,1
2747,1298.52,-2781.51,3473.43,1.25557,0.99341,1.00884,1.02224,0.764431,0.035874,-0.0162049,1
2748,1186.36,3478.13,-2777.85,1.02186,0.994118,0.99237,1.01752,0.742563,0.142251,0.00452451,1
2749,1827.01,-3307.45,4696.81,1.19527,0.997717,0.995933,1.01464,1.0818,0.0268233,-0.0155307,1
2750,4106.86,-5841.2,10580.9,1.01831,0.998808,1.01522,1.00484,0.589813,0.103745,-0.00165804,1
2751,47465.6,155953,-79449.4,1.05707,1.00054,1.00129,1.04107,0.838208,0.00374896,0.00725105,1
2752,1760.55,4643.44,-3366.76,1.21661,0.980565,1.014,0.958322,0.930502,0.0391837,0.0104705,1
2753,476.206,1257.93,-1156.77,1.04138,0.970896,0.998191,0.991503,0.86496,0.101229,0.0156708,1
2754,302.315,-729.537,768.444,0.842547,1.00831,0.999126,0.977027,1.01399,0.241036,-0.010987,1
2755,1204.07,-2697.66,3373.06,1.1049,0.996316,0.994125,0.989268,1.11271,0.134549,-0.00480161,1
2756,1661.27,-3634.1,4845.58,0.78459,1.00842,0.999715,1.0486,1.02442,-0.150408,0.00305061,1
2757,6121.27,20859.7,-7985.63,0.889371,0.981958,1.01343,1.01287,0.785731,-0.0412805,-0.00319014,1
