run,apogee_m,impact_x_m,impact_y_m,wind_scale,thrust_scale,dry_mass_scale,aero_scale,sensor_bias_scale,thrust_misalignment_deg,cg_offset_m,mean_nees,mean_nis,mean_gps_nis,mean_baro_nis,impact_valid
584,47377,nan,nan,0.855213,1.02786,0.993519,1.03091,0.969413,-0.112125,-0.00138588,180.826,1.4786,3.73526,0.888536,0
585,51805.1,nan,nan,0.846313,1.0177,0.997146,0.962875,0.802829,-0.021581,-0.000587765,6.46831,0.908245,0.683583,0.970791,0
586,46835.2,nan,nan,1.06845,1.00449,1.0167,1.03922,0.7507,0.0212733,-0.000478421,29.6477,0.919579,1.13283,0.864587,0
587,48316.1,nan,nan,0.982895,0.990099,1.00276,0.990086,0.891454,0.107677,2.2512e-05,111.128,1.3241,2.57549,0.993706,0
588,50825.5,nan,nan,0.976498,1.01417,0.999823,1.00202,1.28581,0.148072,0.000334781,157.12,1.56356,3.32588,1.07991,0
589,50545.9,nan,nan,0.408897,1.01424,0.989555,0.95366,1.00292,-0.129341,0.000186532,74.0234,1.10264,1.92243,0.877974,0
590,50765.8,nan,nan,0.816831,1.03189,1.00375,1.07053,0.933149,-0.0765772,-0.00138594,85.3973,1.33373,2.07508,1.12916,0
591,49027.3,nan,nan,1.278,1.02031,0.998201,1.05916,0.816839,-0.131697,0.000162488,87.1071,1.14544,2.12695,0.882362,0
592,43850,nan,nan,1.19301,1.00808,1.00973,1.03353,0.957066,-0.186885,0.000567992,159.47,1.35854,3.42659,0.849617,0
593,44023.6,nan,nan,0.975695,0.989771,1.00948,1.05167,1.1637,-0.0722891,-0.000564905,114.4,1.32051,2.66779,0.988133,0
594,51807.9,nan,nan,1.28148,0.97652,0.992579,0.952143,1.05724,-0.0331676,0.000869465,4.56884,0.82027,0.664623,0.863743,0
595,54092.6,nan,nan,0.970332,1.01921,0.999949,0.970226,1.14958,0.207096,-0.000509339,106.538,1.23774,2.46194,0.885788,0
596,44671.5,nan,nan,0.747017,1.01482,1.00433,0.961582,1.15117,0.287009,-0.000576728,505.141,2.63692,9.61944,0.902166,0
597,40887,nan,nan,0.995463,0.988201,0.985493,0.977797,1.12711,-0.323677,0.00147701,344.536,2.03763,6.71625,0.951943,0
598,54399.9,nan,nan,0.933511,1.00967,1.01381,0.972737,1.03903,-0.0769554,0.00103184,6.31002,0.882356,0.694448,0.936693,0
599,53475.5,nan,nan,1.29106,1.00729,1.00762,0.970944,1.21188,-0.0266799,0.000824954,4.73952,0.730569,0.667804,0.748502,0
600,42244.9,nan,nan,0.847362,1.00206,0.996921,1.00059,0.573184,-0.150844,-0.00143968,288.922,1.87945,5.77315,0.951045,0
601,43624,nan,nan,0.996926,0.991663,1.0065,0.979956,0.878635,0.232102,0.000339756,507.927,2.60157,9.62773,0.890107,0
602,13.7508,-27.4077,0.820187,0.757954,1.00675,1.01726,1.01294,1.10214,0.00019334,0.0015848,316.865,2.1086,6.40867,1.33147,1
603,51042.2,nan,nan,0.932227,0.977275,0.996508,0.996048,0.889727,-0.046404,0.000369727,7.69008,0.920766,0.737631,0.971326,0
604,41441,nan,nan,1.20021,0.969745,0.989655,1.03323,0.975167,-0.108131,-0.000676457,200.433,1.57046,4.15696,0.965088,0
605,48765.8,nan,nan,1.0094,0.985637,1.02007,1.00512,0.99378,-0.0257318,0.000989436,15.8324,1.01109,0.883363,1.0451,0
606,32944.5,nan,nan,0.98786,1.00318,0.993594,1.01061,0.786978,0.337549,0.00186513,975.791,3.74267,17.9319,0.914278,0
607,48746.8,nan,nan,0.748274,0.978193,1.00228,0.99854,1.10895,0.145084,-0.00139829,22.5819,1.03103,0.981755,1.04416,0
608,27226,nan,nan,0.496831,1.02093,0.993795,1.00455,0.962861,-0.407987,0.000336454,866.53,3.53233,15.9943,1.04824,0
609,53759.3,nan,nan,1.09248,0.99972,0.993386,0.979494,1.19525,-0.0946886,0.00209301,19.3792,0.834784,0.94767,0.802453,0
610,49368,nan,nan,0.783827,0.96183,0.987685,1.02567,0.963089,-0.0957503,0.000312458,30.5596,0.918223,1.12892,0.861391,0
611,50680.9,nan,nan,0.988021,0.99787,0.997916,0.988955,0.582292,-0.107861,0.00105265,34.082,0.981983,1.20893,0.919672,0
612,45548.4,nan,nan,0.81549,0.983282,0.988877,0.959162,1.25928,-0.172433,0.00101968,157.983,1.55634,3.3935,1.09063,0
613,45551.4,nan,nan,0.839515,1.0078,0.989342,1.0094,0.667662,0.273278,0.000298708,391.763,2.20037,7.64129,0.824604,0
