run,apogee_m,impact_x_m,impact_y_m,wind_scale,thrust_scale,dry_mass_scale,aero_scale,sensor_bias_scale,thrust_misalignment_deg,cg_offset_m,mean_nees,mean_nis,mean_gps_nis,mean_baro_nis,impact_valid
818,90119.4,31069.1,18075.2,0.764485,1.03317,0.997347,1.01443,0.98308,-0.110081,0.00292304,11.6581,0.930267,0.697055,1.10962,1
819,91701.3,47590.6,-24952.2,1.06652,0.975488,0.985107,0.983792,1.05176,0.15323,0.000161136,19.1257,0.954064,0.819252,1.0598,1
820,88325.5,71717.6,-17323.2,1.29375,1.02678,0.996929,1.05406,0.694989,0.0920409,0.00120488,37.1401,1.09579,1.14865,1.05604,1
821,84087.6,-126179,16908.3,0.707341,0.995065,1.0029,0.928718,1.11302,-0.236943,0.00101191,31.009,1.00145,1.03376,0.978141,1
822,51401.1,-169125,22771.7,1.03581,1.01442,0.990605,0.931584,1.36148,-0.279902,-0.000105199,138.11,1.51461,2.93648,0.916699,1
823,86212,-65262.6,-7279.11,0.553944,1.02261,1.02261,0.975135,1.15266,0.030009,-0.00162607,3.70893,0.774279,0.540561,0.946145,1
824,79620.4,-71205.8,-29.3729,1.04125,0.992603,1.00877,1.02291,1.01465,0.0397769,-0.00180418,9.08695,0.863867,0.630112,1.02251,1
825,81433.4,-17096.1,635.276,1.35251,0.987053,0.993185,0.968355,0.825533,0.0227002,7.91195e-05,3.80592,0.862854,0.559153,1.07338,1
826,86797.6,-40498.5,-6414.84,0.802644,1.02649,0.980781,0.98772,0.710356,0.0603088,-0.0013594,3.18428,0.761681,0.538123,0.9266,1
827,57267.7,-152587,-6640.06,0.856358,0.998789,1.00058,0.966554,0.970458,-0.195332,-0.000766297,111.075,1.47407,2.46069,1.00339,1
828,17.931,-36.4889,-7.18582,1.03141,0.968017,0.982491,1.03083,1.12813,0.0348888,0.00190124,274.881,1.96956,6.12114,1.20702,1
829,88958.7,-18092.5,2394.35,0.93204,1.00934,1.00671,0.945067,0.634606,0.0474736,-0.000361508,6.73851,0.779751,0.591305,0.923065,1
830,92633.4,23196.3,-14785.9,0.967392,1.01769,0.97929,0.994935,1.04288,0.0961349,-0.000688864,9.59143,0.906252,0.649448,1.10926,1
831,29222.3,-140910,9775.36,0.935589,1.04912,0.980487,0.947802,1.19904,-0.221111,-0.0024737,320.525,1.81362,6.15428,0.946305,1
832,76971.2,-48096.1,-2152.27,0.902682,0.997437,1.00614,0.996024,1.15638,-0.0291151,-0.000636258,4.44914,0.808232,0.561569,0.969808,1
833,67078.9,-117390,4453.86,1.05965,0.981542,1.00519,0.977533,1.02444,-0.0775266,-0.000638658,33.3737,0.975042,1.09093,0.909294,1
834,78793.6,50602.5,-10777.7,0.884948,0.961601,0.99373,1.04087,1.19662,0.0323079,0.00112066,25.5851,1.05943,0.931347,1.14528,1
835,90655,-56006.9,1496.43,0.995972,1.01327,1.01861,1.01869,0.797866,-0.120743,0.00150794,6.23701,0.831176,0.60511,1.00634,1
836,86370.2,-139145,925.82,1.09871,1.03763,0.977521,1.06187,1.0175,-0.0963369,-8.26858e-05,24.8971,1.03071,0.921248,1.11157,1
837,74752.9,106585,-43332,1.00132,1.00054,1.02088,1.01706,1.6301,0.339063,-0.00191474,104.463,1.49162,2.34228,0.951077,1
838,88761.3,-46339.5,11968.7,1.03686,0.980979,1.00004,1.00631,0.913825,-0.0441505,5.33065e-05,3.43353,0.774845,0.54981,0.945763,1
839,80065.1,-67055.5,11232.6,1.10757,0.981464,0.999429,0.973469,1.10352,-0.0414616,-0.000343666,9.83911,0.871927,0.675157,1.00621,1
840,84503.1,-7213.78,-1590.02,1.04976,0.979012,1.005,1.00756,0.927321,-0.00928561,0.000258474,7.42355,0.818109,0.603919,0.972643,1
841,100886,-35046.6,21515.3,1.0572,0.99136,0.981083,0.968561,0.975238,-0.147118,0.00207595,3.09673,0.763578,0.541982,0.954768,1
842,81586.8,-939.74,1828.85,0.751403,0.979848,0.999022,0.981919,0.851147,0.00363352,0.000546077,9.47698,0.872906,0.65063,1.02751,1
843,69992.9,-139783,12644,1.06734,0.990384,0.987917,0.912195,0.961945,-0.140813,2.3435e-05,41.6631,1.02631,1.20922,0.917423,1
844,69966.3,-105888,42225.3,0.720771,0.971352,1.01487,1.02627,0.734692,-0.195135,0.000258105,31.8755,0.992929,1.0539,0.956631,1
845,15.9234,-29.8109,-8.74324,0.94026,0.969466,1.00562,1.00865,1.07302,0.0953875,0.00225959,443.601,1.99442,9.82352,0.541592,1
846,55631.5,141581,-25020.2,0.649996,0.990253,1.00103,1.01396,0.846097,0.268922,0.000803391,173.101,1.79095,3.56578,0.975321,1
847,87352.7,51231.7,-11585.3,1.21965,0.975123,1.00538,0.988179,1.22155,0.0787266,0.00153141,23.173,0.894696,0.894977,0.894486,1
848,12.2994,-22.7992,-3.15829,0.952648,0.99469,1.00205,1.02313,1.59313,0.0955903,0.00257454,576.189,2.14207,10.3732,0.701625,1
849,84626.7,88706.2,-4480.8,1.00891,1.00026,1.00138,0.98637,0.784912,0.124079,0.00169742,61.1028,1.15272,1.52809,0.881804,1
850,89277.8,-9387.16,-16718.2,1.2774,0.991765,1.00847,0.940667,0.977198,0.110335,-0.00150007,7.03834,0.794033,0.608829,0.935352,1
851,22.5504,35.7319,10.9579,0.927018,0.979828,1.00686,0.961753,0.759635,-0.00377068,-0.00187011,173.347,1.18665,4.20457,0.615697,1
852,86093.6,-19615.2,3786.4,0.788631,1.00875,1.00093,0.946888,0.98673,-0.0396642,0.00129779,4.66677,0.809016,0.562195,0.989937,1
853,26.276,57.8773,9.4142,0.957179,1.01636,0.992342,1.00807,0.702812,0.0150722,-0.000376931,90.6233,1.05078,2.61775,0.75614,1
854,85628.2,-97161.2,20972.5,1.10842,1.01312,1.0086,0.981492,1.23918,-0.0248797,-0.000881705,12.8412,0.913929,0.722205,1.05434,1
855,81478.6,-16848.3,-14349.1,1.09332,0.966218,1.01363,1.03739,0.875428,0.0624401,-0.000785445,4.97654,0.777295,0.570075,0.921414,1
856,88111.6,65432.4,-6924.25,1.1331,0.997783,0.987971,1.02155,1.21879,0.0778105,0.000334831,30.5785,0.943495,1.01528,0.889561,1
857,94995.6,-41706.1,-6261.74,0.794181,1.01688,0.9971,1.03421,1.04319,0.0100853,-0.000675714,3.81462,0.750331,0.555733,0.908253,1
858,93094.8,90459.9,-20048.4,1.38907,1.03996,1.00162,1.00194,1.18746,0.178194,0.000752763,54.1145,1.19499,1.42225,1.01454,1
859,82835.7,65143.9,-16190.5,0.748174,1.00467,1.02148,1.02253,1.1755,0.121803,-0.000591889,36.0834,1.05973,1.11126,1.02334,1
860,89279.7,62199,-26023.7,1.26972,1.00612,1.0049,1.03735,0.881072,0.17133,-0.00105607,23.4048,0.882456,0.877993,0.885859,1
861,62828.8,-116901,12666.1,1.02853,0.968182,1.00714,1.03481,0.891142,-0.175961,0.000558661,50.4263,1.04646,1.40224,0.85824,1
862,81607.3,-144002,32983.7,1.22021,1.02435,0.991097,1.01759,0.752037,-0.241999,0.000331217,41.2949,1.11035,1.21489,1.03724,1
863,14.3865,28.806,18.5726,1.15734,1.02131,0.991889,1.00159,0.842527,-0.186856,-0.00107261,452.599,2.46236,9.94075,1.05553,1
864,70327.3,-107096,35238.6,1.05614,0.993491,1.00795,1.04044,1.00088,-0.0798184,-0.000738774,32.3796,1.05174,1.0655,1.04352,1
865,80395.6,-116943,28829.3,0.776369,1.00716,1.00381,1.0168,0.890016,-0.106983,0.000442519,25.127,0.916287,0.923162,0.911562,1
866,86401.2,56159.6,-12032,0.976847,0.972077,0.99648,1.02009,0.993012,0.0965075,0.00117905,20.8074,0.916009,0.845477,0.968083,1
867,64958.2,-141065,34048.4,1.05986,1.00137,1.01517,1.01435,0.617899,-0.232464,4.99412e-05,70.1476,1.27719,1.75184,1.01654,1
868,95297.1,-11154.4,-5014.38,0.960657,1.03624,0.990775,0.960503,1.04415,0.0573145,6.5276e-05,3.10057,0.736678,0.542568,0.894144,1
869,86824.3,-103087,20085.9,0.689512,1.01419,0.992865,0.990382,1.05603,-0.0780851,2.30671e-05,13.5235,0.856393,0.716836,0.959942,1
870,76930.6,-132661,-2945.89,0.655136,1.00795,0.983274,1.03679,1.0468,-0.0884203,-0.0011715,38.9694,1.02602,1.17772,0.926446,1
871,83176.7,65266.8,-10667.2,1.45303,1.00719,1.00237,0.998983,0.774769,0.0844122,0.00121261,33.325,0.986365,1.06366,0.931634,1
872,79796.1,115511,-43420.8,1.0976,1.01696,0.975874,1.02135,1.13318,0.282972,0.000291848,95.848,1.45718,2.20236,0.950833,1
873,77934,109362,-28083,1.09065,1.00151,0.997979,1.03198,1.17561,0.244366,-0.000147554,90.1715,1.4247,2.09461,0.980117,1
874,80117.8,60505.5,-15658.2,0.881338,0.983132,0.998611,1.05303,1.18595,0.0585564,0.00116164,35.7199,1.0124,1.14104,0.924636,1
875,97298.9,-28189.4,24095.3,1.02312,1.0378,1.01422,1.00305,1.28257,-0.0258175,0.000533073,2.5954,0.734456,0.534165,0.900859,1
876,89685.2,-11209.8,-16442,0.766833,0.978379,1.00021,1.02736,1.09373,0.104082,-0.00111634,6.44009,0.8539,0.585384,1.05992,1
877,88296.5,-48415.7,-14615.9,0.777821,1.02635,1.00183,0.984754,0.618318,0.0207806,-0.000422105,3.03752,0.721369,0.541962,0.856337,1
