run,apogee_m,impact_x_m,impact_y_m,wind_scale,thrust_scale,dry_mass_scale,aero_scale,sensor_bias_scale,impact_valid
85,120834,2181.02,164.417,0.992209,1.00632,0.982887,1.02522,1.53514,1
86,116547,2169.86,160.461,1.01195,0.998241,0.995877,1.00476,0.59187,1
87,118283,2528.79,176.474,1.18079,1.00508,1.00513,0.945402,0.999994,1
88,119004,2479.38,183.742,1.15815,1.01919,1.0114,1.01107,1.56295,1
89,130305,2637.84,190.32,1.16065,1.03203,0.979922,0.979875,0.633551,1
90,110723,2626.79,195.775,1.24951,0.975254,0.993033,1.01075,0.998443,1
91,113426,2125.07,153.472,0.99246,0.97273,0.980602,0.975101,0.760273,1
92,123503,1762.39,133.102,0.800494,1.0247,0.994189,1.03048,1.2234,1
93,120840,2012.63,147.986,0.928003,1.01766,1.00169,1.00116,0.84534,1
94,113459,1410.97,105.43,0.670439,0.995866,1.00664,1.01708,0.611769,1
95,119924,1915.25,141.167,0.881276,1.00879,0.993977,1.00198,0.919968,1
96,113438,2830.78,207.102,1.34597,0.993541,1.00686,0.994026,1.05134,1
97,102709,1851.14,141.408,0.920712,0.960158,1.01175,1.0388,1.39394,1
98,116886,2229.59,151.032,1.04626,0.995993,1.00407,0.914565,0.904361,1
99,113374,1704.68,123.668,0.813808,0.996188,1.01209,0.985678,0.972351,1
