run,apogee_m,impact_x_m,impact_y_m,wind_scale,thrust_scale,dry_mass_scale,aero_scale,sensor_bias_scale,thrust_misalignment_deg,cg_offset_m,mean_nees,mean_nis,mean_gps_nis,mean_baro_nis,impact_valid
0,97493.3,18006.1,17453.2,1.15258,0.992899,0.984655,1.00628,1.00486,0.246613,-0.0023934,3.7095,0.937576,0.98572,0.897315,1
1,94469.1,-60309.6,42594.7,1.00094,0.987614,1.00138,1.02921,1.24504,-0.0833747,-0.00141602,2.90298,0.938236,1.02514,0.868764,1
2,64169.7,-7308.14,1309.17,1.30151,0.954495,1.00721,1.02483,1.26442,0.0643437,0.000661944,3.72125,0.950373,0.973766,0.937746,1
3,81651.6,-63212.6,6023.03,1.20812,0.963716,0.99615,1.04575,0.971638,0.179256,-0.000620665,4.76973,0.953873,0.996249,0.924672,1
4,77182.8,15552.9,38951.9,0.804658,1.01513,1.0174,1.01784,1.04582,-0.00742495,-0.000309882,3.99234,1.00749,0.995945,1.0151,1
5,68174.1,-40303.9,19682.8,1.115,1.00897,1.01448,1.00086,0.963469,-0.0611881,0.00139284,5.32854,1.00896,1.00306,1.01235,1
6,67761.5,-2131.14,-3544.03,0.931595,0.985336,0.99596,1.01704,0.968927,-0.218384,-0.000234971,5.16082,0.961733,1.00709,0.935841,1
7,73237.3,-44133.9,64986.6,0.525986,0.993719,0.993067,1.00609,0.92552,-0.115603,-0.000476912,4.85571,0.997413,0.97496,1.01141,1
8,28509.8,7384.24,-4279.88,0.802148,1.02476,0.991226,0.975985,1.07412,0.0424889,-0.000501766,4.15386,1.03204,1.01622,1.0352,1
9,15207.6,5945.02,18755.9,0.833305,0.980018,1.00895,0.962927,0.758054,0.109443,-0.00128454,3.46335,1.03422,0.97444,1.04616,1
10,93956.7,-14030.9,-6572.18,0.907483,1.01155,1.00545,1.02014,0.780458,-0.0480475,0.00110757,4.22796,0.979752,0.998575,0.964704,1
11,81394.7,7468.19,64513.4,1.12501,1.00229,1.00255,0.996076,0.768567,0.0262035,-0.000724693,4.61927,0.915281,1.00011,0.856519,1
12,26387.1,-9188.24,-25933.4,1.07088,0.996032,1.00007,1.03952,1.00289,0.121487,0.000302493,2.41349,1.07763,0.995961,1.09395,1
13,90622.7,21353.9,-21011.2,0.778689,1.04963,1.0029,1.00139,1.12407,0.0333768,-0.00130425,4.35378,0.94438,0.999427,0.901995,1
14,17551.1,6659.43,9076.26,1.0295,0.99009,0.995295,0.985274,0.929607,0.135314,-0.000604536,3.53492,0.909635,0.974799,0.896622,1
15,55507.4,-13416.5,39066.1,1.0382,0.974115,0.99225,0.990215,0.748689,0.312474,0.00121506,4.19572,0.990319,1.01709,0.978017,1
16,62871.9,-24995.8,506.781,0.918869,1.01429,1.01388,1.02816,0.816364,-0.20553,-0.00030453,2.96059,1.01149,1.00885,1.01289,1
