run,apogee_m,impact_x_m,impact_y_m,wind_scale,thrust_scale,dry_mass_scale,aero_scale,sensor_bias_scale,thrust_misalignment_deg,cg_offset_m,mean_nees,mean_nis,mean_gps_nis,mean_baro_nis,impact_valid
780,83896.5,-43672.5,-16473.7,0.854817,0.979499,1.00128,0.954204,0.988668,0.0037861,-0.000233619,3.41188,0.81508,0.536901,1.01455,1
781,16.8544,31.6064,6.36359,1.06187,0.970945,0.993966,0.98228,0.797857,-0.0870047,-0.000809437,44.1853,0.78064,1.51806,0.64868,1
782,89328,-39028.7,-4131.25,1.04809,1.00439,0.999306,0.972578,0.821773,0.025912,-0.000329979,3.56818,0.755248,0.52867,0.927905,1
783,92089.7,8427.62,-3981.7,1.11998,0.987949,0.993085,0.976121,1.22184,0.00321571,0.00114459,2.2249,0.712436,0.511642,0.870647,1
784,71334.2,104488,-29725.3,1.13044,1.01326,1.00809,1.00497,0.705593,0.303513,0.000491174,15.9208,0.858588,0.72459,0.939553,1
785,84149.8,-89266.9,21142.5,1.18943,1.00601,1.00487,1.04481,1.18732,-0.121129,-0.000111597,3.95678,0.741991,0.535677,0.890264,1
786,84291,30640.1,-5040.83,1.00693,0.990212,1.00131,1.03917,1.14972,0.189978,-0.00141751,5.07076,0.742522,0.567418,0.868898,1
787,80608,-126338,15883.3,0.815414,1.0051,0.984187,1.02959,1.09177,-0.171652,-0.00165423,7.28428,0.853863,0.59953,1.029,1
788,89283.7,38593,12868.9,0.893155,1.03265,0.988244,1.00927,0.91882,0.0346376,0.000997389,6.68501,0.897923,0.58325,1.13739,1
789,82699.3,-13128.1,8906.8,1.02647,0.990013,1.01394,0.944812,1.06977,-0.00500175,0.00101832,4.31703,0.787915,0.561569,0.947355,1
790,96483.3,4928.31,-15767.3,0.973516,1.03946,0.996038,1.00205,1.05327,0.164261,-0.0016459,4.21851,0.734341,0.545078,0.889778,1
791,77558.4,-76719.4,4330.45,0.697561,0.988371,1.0041,0.980996,0.791851,-0.109575,-0.000343822,4.54292,0.782974,0.545112,0.940168,1
792,86216.8,-17041.5,8272.66,1.24348,0.99486,1.01483,1.03103,1.01976,0.0277954,-0.000217767,2.09634,0.790836,0.517776,0.991941,1
793,74473.1,73650,-16181.2,1.46709,0.976388,1.00277,1.01354,1.1258,0.229047,0.00108977,10.3487,0.864493,0.640101,1.00685,1
794,81423.3,-31413.6,9035.35,1.01333,0.954892,0.985655,1.02656,1.09166,0.106273,-0.00152751,5.99285,0.757496,0.584051,0.877973,1
795,77128.6,93001.1,-21282.6,0.945868,1.0235,1.00861,1.05491,0.969945,0.268887,0.000839387,12.6129,0.854316,0.686441,0.96446,1
796,93726,-12905.9,-13702.6,1.16861,0.982337,0.987131,0.956528,1.14919,0.101749,-0.000790079,3.67761,0.798004,0.522795,1.01844,1
797,74784,-62411.8,12843.8,0.987995,0.992746,1.00086,1.05416,1.13102,-0.0278019,-0.000717256,2.46923,0.771706,0.519835,0.931999,1
798,86529.5,-47907.6,13329.1,0.908088,1.02484,0.992128,1.02487,1.17028,-0.100565,0.000866778,2.84487,0.814097,0.524902,1.02695,1
799,81630.4,-88568.3,11283.3,1.30907,0.99933,0.983596,0.982481,0.664264,-0.0135633,-0.00185452,3.75727,0.765086,0.545463,0.917992,1
800,76137.3,-56438.2,7130.93,1.05727,0.972261,1.00585,1.02266,1.28112,-0.00682122,-0.0012962,3.86564,0.767804,0.563911,0.899752,1
801,100605,33314.6,-16319.6,1.2919,1.01779,1.00114,0.962986,0.91983,0.129818,0.00086752,5.22483,0.803392,0.552945,1.01854,1
