run,apogee_m,impact_x_m,impact_y_m,wind_scale,thrust_scale,dry_mass_scale,aero_scale,sensor_bias_scale,impact_valid
454,119563,2475.41,180.55,1.14951,1.01471,1.00517,0.992604,1.31949,1
455,106766,2141.32,163.865,1.03123,0.960421,0.989252,1.03818,0.95193,1
456,114856,1689.89,122.29,0.802824,1.00222,1.01305,0.983728,0.868296,1
457,112940,2700.03,202.151,1.27295,0.983776,0.992536,1.01655,1.09184,1
458,118174,2054.78,148.802,0.947704,0.995757,0.987774,0.981031,0.792589,1
459,120349,2307.75,170.5,1.0548,1.00501,0.986577,1.00335,1.15388,1
460,119963,1806.65,128.765,0.841504,1.01797,1.011,0.969004,0.985214,1
461,118139,2252.81,164.17,1.02899,0.985958,0.973923,0.985199,0.947994,1
462,124185,2033.14,147.441,0.92216,1.02245,0.994297,0.985917,0.736585,1
463,122105,2063.69,152.271,0.948823,1.02453,1.00415,1.00595,1.11661,1
464,114250,1734.87,128.774,0.82014,0.995627,1.00331,1.00938,1.06059,1
465,110776,2362.8,171.339,1.13953,0.986475,1.01243,0.984392,0.825556,1
466,118244,1818.49,133.284,0.846322,1.00772,1.00157,0.996658,0.98841,1
467,125169,2705.16,193.77,1.22805,1.02907,1.00018,0.974254,0.961875,1
468,119820,2571.77,189.888,1.17323,0.998914,0.981122,1.00147,1.10975,1
469,116900,2079.31,155.381,0.978327,1.01207,1.01104,1.01941,0.499431,1
470,114856,2048.9,149.639,0.953767,0.981662,0.983859,0.988244,1.15242,1
471,125091,2264.87,158.995,1.02592,1.02328,0.995952,0.952187,1.38158,1
472,111102,2808.1,198.095,1.34345,0.976953,1.00177,0.953485,1.07408,1
473,111337,1528.05,111.381,0.743565,1.00128,1.029,0.993151,0.41277,1
474,122900,1680.3,125.18,0.766602,1.0232,0.997174,1.0155,0.989089,1
475,117970,1575.2,114.342,0.729412,0.998819,0.992502,0.984334,0.804881,1
476,121319,2301.73,169.608,1.06381,1.02424,1.00773,1.00491,0.931888,1
477,114302,1688.86,124.349,0.797634,0.993899,1.00196,1.00024,0.946726,1
478,113735,1882.86,133.739,0.886481,0.981386,0.993295,0.95993,1.0491,1
479,113393,1754.34,126.845,0.832261,0.989138,1.00291,0.980388,1.10495,1
480,118133,1291.29,99.274,0.597952,1.00813,0.99516,1.04894,0.991019,1
481,118090,2126.79,155.102,0.985908,1.00156,0.994868,0.989915,0.867467,1
482,107881,2093.55,149.341,1.02129,0.973162,1.01201,0.965681,1.12273,1
483,127289,2259.04,172.291,1.00381,1.02933,0.981351,1.04048,0.631552,1
484,115107,2677.98,188.872,1.26406,0.993802,1.00423,0.955091,0.893434,1
485,121777,2382.96,173.372,1.08897,1.01334,0.993135,0.988382,1.13521,1
486,112343,2834.33,212.735,1.34582,0.987033,0.999645,1.0205,0.806784,1
487,114993,1777.49,132.398,0.842336,1.00457,1.01108,1.01503,0.765119,1
488,117300,2186.56,164.775,1.01567,1.0023,0.994659,1.02581,0.745611,1
489,120212,2380.43,178.812,1.08201,1.00028,0.978414,1.02014,0.904827,1
490,118587,2562.76,183.498,1.17814,0.993849,0.984924,0.968642,0.788153,1
491,108125,2323.25,169.255,1.11647,0.962358,0.992452,0.984743,0.994061,1
492,119029,1969.08,147.613,0.910343,1.00958,0.996725,1.02097,1.07308,1
493,113482,1295.1,91.592,0.618301,0.993686,1.01195,0.958596,0.997441,1
494,118668,2164.29,156.732,1.00018,1.00162,0.993186,0.982237,0.920768,1
495,115714,2015.26,148.299,0.945482,0.997607,0.999931,0.999808,1.0146,1
496,112246,1714.83,124.089,0.812797,0.979375,0.995366,0.97945,0.748977,1
497,118074,1960.82,142.561,0.900206,0.990593,0.980771,0.983926,1.43426,1
498,108097,1518.11,115.788,0.724875,0.961732,0.984488,1.03392,0.71633,1
499,112320,2087.52,152.551,0.994325,0.986481,1.00319,0.991573,1.05035,1
500,108071,1939.11,140.964,0.937459,0.967788,1.00063,0.983824,0.880648,1
501,123951,2336.52,171.135,1.05135,1.01325,0.981881,0.994255,1.22503,1
502,115943,2283,165.006,1.07088,0.996715,1.00033,0.980502,0.568213,1
503,115492,2912.95,206.794,1.36377,0.988858,0.994657,0.960379,1.13668,1
504,119683,2725.43,198.778,1.25826,1.0092,0.997282,0.991138,1.18384,1
505,118403,2714.23,190.077,1.25538,0.996113,0.992073,0.946711,1.13862,1
506,108034,1808.12,133.057,0.871306,0.965777,0.99614,0.996222,0.718029,1
507,113226,2305.8,174.404,1.08999,0.99024,0.998255,1.02915,0.70715,1
508,108279,1565.04,121.018,0.756181,0.977342,1.00294,1.05333,1.19341,1
509,124735,2271.85,166.79,1.00869,1.00462,0.966724,0.994146,1.07504,1
510,117457,1689.42,127.488,0.783343,1.00175,0.992925,1.02705,0.887747,1
511,106097,1440.75,103.602,0.710425,0.970926,1.01746,0.974406,1.24984,1
512,119697,2707.81,185.441,1.25786,1.00775,1.00447,0.926605,1.10937,1
513,117438,1897.53,136.284,0.898051,1.01724,1.02135,0.97817,0.82106,1
514,111743,2627.35,197.006,1.25808,0.991119,1.00851,1.02083,1.22021,1
515,108268,1795.24,131.657,0.878326,0.983043,1.01941,0.996852,1.2689,1
516,117567,2868.65,214.08,1.33652,1.00628,1.00018,1.01617,0.719427,1
517,122507,3007.03,227.372,1.37038,1.02119,0.994069,1.03159,0.843182,1
518,122206,2196.85,161.016,0.994421,1.00708,0.981783,0.99435,1.09482,1
519,115126,2496.87,185.047,1.16359,0.986887,0.987319,1.00505,1.59003,1
520,117190,3182.21,233.949,1.49086,1.00737,1.00582,1.00061,0.892564,1
521,118034,2166.28,159.241,1.00156,0.999362,0.990996,0.997805,0.998158,1
522,108903,2357.18,178.262,1.1311,0.972024,0.995846,1.02686,0.958567,1
523,115403,2722.96,195.334,1.27433,0.98913,0.993923,0.971188,1.40032,1
524,116631,2493.83,181.177,1.16589,0.999117,0.999349,0.986157,0.626351,1
525,108548,2231.73,170.026,1.08519,0.984101,1.01329,1.03844,1.08611,1
526,124692,1706.31,123.24,0.774594,1.02662,0.997983,0.982411,0.745555,1
527,114740,1525.11,111.178,0.720809,0.996705,1.00507,0.990096,1.17246,1
528,117585,2896.51,207.856,1.3464,0.998543,0.99572,0.972692,1.2365,1
529,105456,1652.43,122.379,0.807018,0.959747,1.00072,1.00307,1.32279,1
530,104087,1464.5,109.415,0.728359,0.968431,1.01924,1.01564,1.04626,1
531,119213,1702.83,129.053,0.79273,1.02021,1.00824,1.0356,0.881089,1
532,109904,1326.59,99.0016,0.636053,0.977234,0.999861,1.01302,0.931946,1
533,115599,2198.42,157.217,1.0285,0.989839,0.994365,0.967975,0.404447,1
534,127138,2342.76,169.325,1.04941,1.02966,0.990656,0.982688,1.02679,1
535,112546,2394.74,176.147,1.13354,0.982505,0.995586,0.997388,0.870116,1
536,111169,2447.12,179.942,1.16852,0.980941,1.00062,0.997469,0.801612,1
537,114411,1680.33,124.446,0.792763,0.994408,1.00119,1.00655,0.912358,1
538,118091,2122.45,156.724,0.992123,1.01241,1.00743,1.00592,1.00013,1
539,117017,2467.61,184.601,1.15166,1.00427,0.999824,1.01856,0.971775,1
540,129195,2320.93,173.124,1.04412,1.05423,1.00819,1.0215,0.94947,1
541,116133,1794.41,129.666,0.835168,0.989765,0.990064,0.978384,0.824927,1
542,125225,1392.5,100.768,0.632144,1.03085,1.00074,0.98518,0.883274,1
543,110526,2266.97,173.594,1.07894,0.978031,0.993551,1.04123,0.986818,1
544,116642,2475.42,186.445,1.16057,1.00729,1.00468,1.02697,0.86986,1
545,117169,2193.87,156.612,1.01728,0.992013,0.989803,0.965803,0.974745,1
546,117531,1596.36,119.54,0.747487,1.01193,1.00739,1.02122,0.961483,1
547,117411,2109.08,160.662,0.979903,1.00494,0.995922,1.03834,0.700504,1
548,121646,2376.83,164.483,1.09107,1.01067,0.997544,0.936577,0.777197,1
549,108631,2471.39,178.565,1.18919,0.966598,0.996909,0.976892,1.04658,1
550,116317,1358.97,96.8649,0.637542,0.997871,1.0021,0.966078,0.977238,1
551,115531,2341.31,166.917,1.10659,0.999905,1.00874,0.967327,0.851033,1
552,117877,2101.4,155.524,0.981139,1.0098,1.00465,1.00782,0.856901,1
553,109973,2186.7,163.821,1.04884,0.978737,1.00095,1.01766,1.19603,1
554,125256,1979.81,148.163,0.900177,1.03764,1.00431,1.02288,0.913979,1
555,119585,2281.63,167.486,1.05604,1.01212,1.00066,0.998709,0.842739,1
556,104311,2502.94,182.3,1.23573,0.959359,1.00915,0.986112,1.07477,1
557,116190,2444.03,184.744,1.13825,0.997094,0.992674,1.02851,0.743066,1
558,113231,1832.48,140.711,0.864986,0.990861,0.996643,1.046,1.13166,1
559,108513,1862.52,138.687,0.90693,0.98209,1.01437,1.0128,1.01846,1
560,113817,1836.75,133.381,0.870678,0.992198,1.00424,0.985471,0.828209,1
561,121246,2227.78,165.995,1.01119,1.00527,0.981373,1.01204,1.46594,1
562,112014,2357.85,167.144,1.13324,0.989633,1.01368,0.960956,0.950964,1
563,128792,2785.95,200.332,1.24902,1.04206,0.99991,0.97963,1.24004,1
564,110841,1971.41,144.474,0.939854,0.9762,0.996353,0.992806,0.922391,1
565,110255,2548.99,183.698,1.22873,0.981,1.00859,0.976875,1.15268,1
566,119667,1915.85,138.544,0.886058,1.00983,0.999479,0.982223,1.01135,1
567,115094,2277.87,168.323,1.06615,0.990862,0.993297,1.00292,0.806862,1
568,100588,2158.32,165.668,1.07859,0.948011,1.00584,1.0424,1.0685,1
569,111608,1831.05,123.515,0.8931,0.995879,1.03155,0.913203,1.16233,1
570,113367,2505.64,173.984,1.19433,0.988733,1.00847,0.939104,0.512664,1
571,112565,1536.11,115.88,0.721586,0.978076,0.985491,1.02337,0.93026,1
572,124335,1517.45,111.87,0.681167,1.0143,0.980512,1.00116,1.05161,1
573,107234,1879.76,140.555,0.906621,0.962476,0.993331,1.01299,1.09428,1
574,111907,2130.82,156.726,1.01336,0.982463,0.998834,0.997665,0.925883,1
575,122269,1221.91,85.5137,0.560642,1.01623,1.00032,0.948712,1.10739,1
576,115940,1792.85,136.218,0.830932,0.990685,0.984485,1.03253,0.97058,1
577,113622,1925.59,144.83,0.920814,1.00499,1.01715,1.02658,1.22016,1
578,110570,1171.71,85.681,0.554516,0.966162,0.984299,0.988042,0.946485,1
579,115554,2617.03,190.318,1.22673,0.99383,0.997451,0.986503,0.972888,1
580,111518,1932.11,137.855,0.916252,0.972413,0.991706,0.963575,1.03133,1
581,110809,1970.84,150.08,0.943623,0.985766,1.0036,1.03689,0.743802,1
582,116336,2671.51,192.692,1.25919,1.00474,1.00946,0.980213,1.18768,1
583,123174,1793.84,133.347,0.819771,1.02682,1.00096,1.01392,0.757921,1
584,118268,1870.34,132.786,0.870755,1.00398,1.00123,0.962485,1.08337,1
585,116642,1940.01,140.725,0.907865,1.00003,1.00076,0.984687,0.885877,1
586,110709,2303.45,178.183,1.10568,0.989926,1.00728,1.05569,1.11257,1
587,114445,1966.2,136.11,0.923984,0.981562,0.993702,0.933687,0.957741,1
588,115542,3001.97,210.328,1.40137,0.98445,0.990385,0.945961,0.955059,1
589,118258,2495.27,180.233,1.15241,0.997497,0.990075,0.978766,0.780497,1
590,109583,2192.29,161.445,1.0487,0.970519,0.994365,0.99731,1.0854,1
591,112314,2225.56,161.021,1.07254,0.99763,1.01997,0.983893,0.814258,1
592,113936,2185.79,165.447,1.0209,0.98307,0.984796,1.02762,0.443992,1
593,106351,2399.59,172.115,1.18751,0.976495,1.02424,0.973155,0.911522,1
594,111191,1985.27,148.267,0.946406,0.98146,0.998796,1.01421,1.27724,1
595,111399,2035.93,153.254,0.974688,0.988694,1.00638,1.02456,1.00725,1
596,115478,2009.13,146.048,0.939008,0.990014,0.992753,0.98506,0.925414,1
597,117201,1968.37,149.003,0.919792,1.00869,1.00298,1.03248,1.01981,1
598,105191,2444.83,187.383,1.20826,0.974581,1.01752,1.04482,1.06423,1
599,121206,2145.04,162.092,0.992359,1.02809,1.00943,1.03334,1.01056,1
600,111044,1827.15,130.712,0.882057,0.987832,1.01494,0.970389,0.885008,1
601,110263,1895.17,143.92,0.907176,0.980793,1.00008,1.03285,0.855087,1
602,109248,1764.11,135.114,0.851618,0.982829,1.0069,1.04348,0.949346,1
603,117923,2101.22,153.352,0.97506,1.00152,0.995507,0.990787,0.893118,1
604,117466,2439.07,176.587,1.14619,1.01072,1.01127,0.984963,0.993964,1
605,111242,2136.99,151.648,1.01654,0.972789,0.994454,0.958301,0.954699,1
606,116024,2558.1,186.594,1.19381,0.993089,0.993649,0.989213,1.05944,1
607,112022,2554.92,187.669,1.2182,0.985938,1.00319,0.997124,1.07318,1
608,117496,1979.55,147.316,0.917987,1.00023,0.992885,1.01149,0.861748,1
609,122808,1761.47,127.56,0.807713,1.02421,1.00324,0.985581,0.510153,1
610,111249,2765.03,204.699,1.3338,0.993316,1.01612,1.0079,1.24083,1
611,111040,2276.33,169.995,1.0989,0.993654,1.01633,1.01746,1.16157,1
612,114155,2056.32,143.92,0.975197,0.990444,1.00563,0.946955,1.20849,1
613,136135,2285.47,162.983,0.98614,1.04907,0.978321,0.969064,1.12275,1
614,107601,2027.36,143.663,0.979328,0.959914,0.996056,0.955778,0.886883,1
615,113777,1873.67,137.896,0.883756,0.988367,0.997192,0.998683,1.17065,1
616,120342,2391.29,175.376,1.10493,1.01587,1.00211,0.99828,1.35899,1
617,116850,2435.38,185.353,1.15019,1.0185,1.017,1.04134,1.02069,1
618,112408,1392.74,97.0114,0.668756,0.989436,1.01394,0.942803,0.883935,1
619,117895,2188.49,160.27,1.01929,1.00578,1.00082,0.995528,0.989791,1
620,107974,2095.82,151.96,1.01825,0.97182,1.00716,0.982199,0.772642,1
621,113500,2659.69,204.798,1.24543,0.984866,0.986673,1.04745,0.754238,1
622,124238,1378.81,95.229,0.640072,1.04263,1.02745,0.940772,1.04358,1
623,109201,2119.87,158.63,1.02224,0.978054,1.00429,1.01669,0.950127,1
624,117113,1857.06,135.122,0.856503,0.988398,0.982379,0.984714,0.961186,1
625,117610,2407.79,187.841,1.1157,1.00703,0.993876,1.06565,0.830637,1
626,126668,2071.83,153.363,0.944585,1.0498,1.01519,1.01338,0.43329,1
627,105795,2046.47,156.031,0.991993,0.9588,0.992863,1.03429,1.13646,1
628,119322,2128.17,155.155,0.994579,1.01988,1.01327,0.993533,1.43447,1
629,105739,1528.66,113.216,0.749129,0.965546,1.0073,1.0044,1.12623,1
630,114450,2283.92,175.667,1.07782,1.00037,1.00304,1.04972,1.17289,1
631,118456,1563.47,110.714,0.728977,1.00669,1.00431,0.96038,0.979492,1
632,113791,2672.52,192.604,1.26423,0.988781,1.00088,0.976802,1.273,1
633,116646,2035.52,150.841,0.955463,1.00632,1.0059,1.009,0.904846,1
634,109957,1505,115.519,0.731609,0.996278,1.0213,1.04905,0.946461,1
635,117252,1934.11,142.822,0.900638,1.00178,0.997362,1.00369,0.944142,1
636,108488,2266.1,162.029,1.08847,0.962271,0.993248,0.965054,0.807718,1
637,108226,2309.13,168.857,1.11154,0.96536,0.99551,0.989381,0.565991,1
638,110950,2377.98,184.628,1.11996,0.972379,0.981316,1.05495,1.04889,1
639,123036,2413.96,176.236,1.09698,1.01699,0.991493,0.992274,0.980636,1
640,118934,2536.93,185.632,1.17624,1.00864,0.999676,0.994823,1.01452,1
641,113650,1992.43,152.279,0.942688,0.995977,1.0022,1.04191,0.449525,1
642,118574,2514.04,180.475,1.17222,1.00948,1.00543,0.975182,0.997211,1
643,108146,2083.36,154.929,0.998666,0.962664,0.989569,1.0066,1.2537,1
644,124149,1918.28,142.585,0.873552,1.03014,1.00075,1.01416,0.924077,1
645,121478,2124.61,156.296,0.980832,1.02394,1.00683,1.00294,1.53075,1
646,124551,1779.38,129.971,0.806378,1.0252,0.995104,0.993974,0.984845,1
647,114995,2237.25,164.187,1.05184,0.993951,0.999029,0.996419,1.16372,1
648,115725,2366.74,176.925,1.11581,1.00518,1.00763,1.01874,1.00018,1
649,121821,2197.6,161.325,0.994397,1.00407,0.979377,0.995467,1.09951,1
650,113646,3185.49,228.61,1.49513,0.978832,0.988725,0.970135,1.26627,1
651,117246,2286.42,169.931,1.07197,1.01009,1.00751,1.01281,1.06897,1
652,119855,1940.01,138.772,0.905694,1.02019,1.01394,0.973374,0.793317,1
653,121786,2190.89,166.833,1.00134,1.02,0.99481,1.03938,0.812689,1
654,109271,2316.06,174.326,1.11073,0.973684,0.996946,1.02189,0.84972,1
655,120969,1719.06,119.838,0.786649,1.00311,0.989729,0.942353,1.02429,1
656,117740,1904.15,133.808,0.88224,0.99341,0.991192,0.949782,0.814241,1
657,119249,2019.05,154.453,0.928352,1.00816,0.990569,1.04279,1.12181,1
658,112881,2831.96,205.273,1.34268,0.984879,0.999347,0.982376,1.2271,1
659,110573,1425.63,105.406,0.67641,0.9703,0.988265,1.00083,1.26853,1
660,117788,1663.05,122.199,0.778008,1.01026,1.00682,1.00023,0.686635,1
661,122306,1707.04,123.941,0.78015,1.01708,0.995864,0.986803,1.09776,1
662,112583,1992.47,141.674,0.944368,0.979668,0.996665,0.961247,1.23953,1
663,104644,2798.33,213.625,1.38039,0.967605,1.01142,1.03894,0.711245,1
664,115043,1972.25,144.252,0.931412,0.998684,1.0057,0.993984,0.993169,1
665,121595,2951.71,207.487,1.35086,1.009,0.993343,0.951979,1.09192,1
666,112493,2287.42,168.453,1.0843,0.983774,0.997409,0.998991,0.908338,1
667,116847,2114.72,152.342,0.988378,0.999319,0.999822,0.977202,1.36663,1
668,106085,2082.44,157.661,1.015,0.965788,1.00222,1.02821,1.34288,1
669,136987,2386.87,178.601,1.03452,1.06716,0.990249,1.02419,0.63273,1
670,112446,2322.99,177.116,1.10493,0.991877,1.00321,1.03892,1.20647,1
671,112981,2130.78,160.057,1.0192,1.00001,1.01391,1.02428,1.17383,1
672,122353,2539.57,184.71,1.16339,1.02034,0.999655,0.98953,0.837416,1
673,122600,1126.05,80.9141,0.513476,1.01537,0.993781,0.975337,1.10642,1
674,112515,1785.8,133.764,0.851907,0.993035,1.00727,1.01961,1.39099,1
675,113882,1675.94,122.051,0.793086,0.991243,1.00218,0.988176,1.16582,1
676,117924,2541.08,184.822,1.17478,0.997034,0.990032,0.986117,1.18225,1
677,125785,2588.66,187.179,1.16262,1.02281,0.987858,0.982171,1.14816,1
678,105013,2050.7,146.591,1.00845,0.958565,1.00698,0.965928,1.12818,1
679,112488,2368.78,171.346,1.11704,0.975863,0.989382,0.978117,1.12676,1
680,121133,2011.5,144.993,0.931693,1.02219,1.00925,0.981154,0.84793,1
681,109886,2403.88,172.975,1.15373,0.973275,1.00013,0.973539,1.05543,1
682,134139,2429.64,174.576,1.06458,1.05396,0.991767,0.979045,0.603499,1
683,116298,2042.67,146.302,0.963562,1.00435,1.01018,0.97274,1.23541,1
684,112174,2664.28,202.931,1.27407,0.995334,1.00951,1.03893,1.12949,1
685,119697,1841.3,133.984,0.845413,1.00295,0.989277,0.987007,0.961121,1
686,119921,2374.92,175.763,1.10006,1.01667,1.00381,1.00843,0.689569,1
687,116820,2735.95,197.097,1.27866,0.999074,0.999622,0.977255,0.923932,1
688,108276,2693.43,201.988,1.30299,0.97434,1.00375,1.01875,0.968738,1
689,120053,2390.92,181.853,1.10229,1.01638,0.998502,1.03816,1.48391,1
690,123503,2528.65,181.896,1.15148,1.02075,0.99644,0.977454,0.79252,1
691,122881,2667.22,192.016,1.23098,1.03128,1.01303,0.981243,1.04582,1
692,121315,2403.92,171.554,1.0954,1.00415,0.986079,0.966275,0.821865,1
693,109734,2241.51,173.801,1.06857,0.975279,0.991874,1.055,0.954586,1
694,112011,1772.97,131.787,0.847498,0.990146,1.00716,1.01083,0.957561,1
695,118842,2644.68,197.165,1.22741,1.01164,1.00123,1.01569,0.883226,1
696,119046,2447.08,176.799,1.13361,1.00682,0.998627,0.980932,1.0834,1
697,112779,1148.26,84.4184,0.547986,0.992928,1.00869,0.999234,1.06505,1
698,106275,1593.13,123.901,0.783555,0.980526,1.01739,1.06206,0.995518,1
699,114752,2127.56,155.135,1.0032,0.994341,1.00177,0.989826,0.748168,1
700,117711,2018.42,145.352,0.939456,1.00136,0.99835,0.976842,0.929342,1
